'Código da unidade geográfica;Situação do setor;Logradouro;Número no logradouro;Complemento;Latitude;Longitude;Localidade;Ponto de referência;Espécie de endereço;Tipo de estabelecimento;Indicador de endereço;Identificação domicílio coletivo;Número da quadra;Número da face;CEP
240200605000001;Urbano;AVENIDA SERIDO;459;;;;CENTRO;;Estabelecimento de outras finalidades;ESTUDIO DE FOTOS;Múltiplo;;9;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;LOJA;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE MOVEIS E ELETRODOMESTICO;Único;;9;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;479;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE TECIDOS;Único;;9;1;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;159;;;;CENTRO;;Domicílio particular;;-;;8;4;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;153;;;;CENTRO;;Domicílio particular;;-;;8;4;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;147;;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO DE CONTABILIDADE;Único;;8;4;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;141;;;;CENTRO;;Domicílio particular;;-;;8;4;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;137;;;;CENTRO;;Domicílio particular;;-;;8;4;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;967SUCAM;;;;CENTRO;;Domicílio particular;;-;;8;4;59300000
240200605000001;Urbano;RUA CORONEL GORGONIO;112;;;;CENTRO;;Edificação em construção;;-;;8;3;59300000
240200605000001;Urbano;RUA CORONEL GORGONIO;114;;;;CENTRO;;Domicílio particular;;-;;8;3;59300000
240200605000001;Urbano;RUA CORONEL GORGONIO;116;;;;CENTRO;;Estabelecimento de outras finalidades;GARAGEM;Único;;8;3;59300000
240200605000001;Urbano;RUA CORONEL GORGONIO;134;;;;CENTRO;;Estabelecimento de outras finalidades;CONCERTO DE CALCADOS;Único;;8;3;59300000
240200605000001;Urbano;RUA CORONEL GORGONIO;144;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE CARTUCHOS RECICLAVEIS;Único;;8;3;59300000
240200605000001;Urbano;RUA CORONEL GORGONIO;148;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ROUPAS;Único;;8;3;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;634;;;;CENTRO;;Estabelecimento de outras finalidades;PRESTACAO DE SERVICOS;Único;;8;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;642;;;;CENTRO;;Estabelecimento de outras finalidades;COMERCIO DE FRIOS;Único;;8;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;650;ANDAR 1;;;CENTRO;;Estabelecimento de outras finalidades;POUSADA;Único;;8;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;650;TERREO;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE TECIDOS;Único;;8;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;656;TERREO;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO DE CONTABILIDADE;Único;;8;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;666;TERREO;;;CENTRO;;Estabelecimento de outras finalidades;ELETRONICA;Único;;8;2;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE CONSORCIO;Único;;8;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;403;;;;CENTRO;;Estabelecimento de outras finalidades;CARTORIO;Único;;8;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;399;;;;CENTRO;;Estabelecimento de outras finalidades;CASA DE FESTA;Único;;8;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;393;;;;CENTRO;;Domicílio particular;;-;;8;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;393;;;;CENTRO;;Estabelecimento de outras finalidades;COPIADORA;Único;;8;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;387;;;;CENTRO;;Domicílio particular;;-;;8;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;387;;;;CENTRO;;Estabelecimento de outras finalidades;PONTO DE MOTO TAXI;Único;;8;1;59300000
240200605000001;Urbano;AVENIDA CORONEL MARTINIANO;595;;;;CENTRO;;Estabelecimento de outras finalidades;OTICA;Único;;10;4;59300000
240200605000001;Urbano;AVENIDA CORONEL MARTINIANO;599;;;;CENTRO;;Estabelecimento de outras finalidades;OTICA;Único;;10;4;59300000
240200605000001;Urbano;AVENIDA CORONEL MARTINIANO;SN;TERREO;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE TECIDOS;Único;;10;4;59300000
240200605000001;Urbano;AVENIDA CORONEL MARTINIANO;SN;ANDAR 1;;;CENTRO;;Estabelecimento de outras finalidades;DEPOSITO;Único;;10;4;59300000
240200605000001;Urbano;AVENIDA SERIDO;383;;;;CENTRO;;Domicílio particular;;-;;8;1;59300000
240200605000001;Urbano;RUA FELIPE GUERRA;SN;;;;CENTRO;;Estabelecimento de outras finalidades;BIBLIOTECA MUNICIPAL;Único;;7;4;59300000
240200605000001;Urbano;RUA FELIPE GUERRA;SN;;;;CENTRO;;Estabelecimento de outras finalidades;BANHEIRO PUBLICO;Único;;7;4;59300000
240200605000001;Urbano;RUA FELIPE GUERRA;379;;;;CENTRO;;Estabelecimento de outras finalidades;CONSELHO TUTELAR;Único;;7;4;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;SN;GARAGEM;;;CENTRO;;Estabelecimento de outras finalidades;GARAGEM;Único;;7;2;59300000
240200605000001;Urbano;AVENIDA SERIDO;331;LOJA;;;CENTRO;;Domicílio particular;;-;;7;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;331;;;;CENTRO;;Domicílio particular;;-;;7;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;621;LOJA C;;;CENTRO;;Estabelecimento de outras finalidades;LOTERICA;Único;;11;1;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;642;LOJA E;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ARTIGO RELIGIOSO;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;642;LOJA D;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE GESSO;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;642;LOJA C;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ROUPAS;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;642;LOJA B;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ROUPAS;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;642;LOJA A;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE CALCADOS;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;630;;;;CENTRO;;Estabelecimento de outras finalidades;LANCHONETE;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;630;;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;626;;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;SN;;;;CENTRO;;Estabelecimento de outras finalidades;BANCO DE EMPRESTIMO;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;SN;;;;CENTRO;;Estabelecimento de outras finalidades;VIDRACARIA;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;594;;;;CENTRO;;Estabelecimento de outras finalidades;LOJAS DE SOM E EQUIPADORA;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;594;ANDAR 1;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;586;TERREO;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;586;ANDAR 1;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;582;;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;570;;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;562;;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;554;;;;CENTRO;;Estabelecimento de outras finalidades;SALAO DE BELEZA;Único;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;554;;;;CENTRO;;Domicílio particular;;-;;11;2;59300000
240200605000001;Urbano;RUA AUGUSTO MONTEIRO;528;;;;CENTRO;;Estabelecimento de outras finalidades;OFICINA;Único;;11;2;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;556;TERREO LOJA;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE MOVEIS;Único;;11;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;556;TERREO LADO;;;CENTRO;;Estabelecimento de outras finalidades;FARMACIA;Único;;11;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;519;;;;CENTRO;;Estabelecimento de outras finalidades;ASSOCIACAO DOS MUNICIPIOS;Único;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE CAMINHOES;Único;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;559;;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO DE ADVOCACIA;Único;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;571;;;;CENTRO;;Domicílio particular;;-;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;583;;;;CENTRO;;Domicílio particular;;-;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;587;;;;CENTRO;;Domicílio particular;;-;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;587;CASA A;;;CENTRO;;Domicílio particular;;-;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;591;CASA A;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE SUPORTE TECNICO;Único;;11;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;591;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ROUPAS;Único;;11;4;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;LOJA B;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ARTESANATO;Múltiplo;;7;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;LOJA A;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ARTESANATO;Múltiplo;;7;1;59300000
240200605000001;Urbano;AVENIDA SERIDO;SN;;;;CENTRO;;Estabelecimento de outras finalidades;6 DELEGACIA DO SERVICO MILITAR;Único;;7;1;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;390;;;;CENTRO;;Estabelecimento de outras finalidades;COOPERATIVA DE TRANSPORTES;Único;;6;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;400;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE PNEUS;Único;;6;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;408;;;;CENTRO;;Domicílio particular;;-;;6;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;408;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE COSTURA;Único;;6;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Estabelecimento de outras finalidades;MOTO TAXI;Único;;6;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;462;;;;CENTRO;;Domicílio particular;;-;;6;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;462;;;;CENTRO;;Estabelecimento de outras finalidades;PET SHOP;Único;;6;3;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;SN;;;;CENTRO;;Domicílio particular;;-;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;534;TERREO;;;CENTRO;;Domicílio particular;;-;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;544;;;;CENTRO;;Domicílio particular;;-;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;544;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE ROUPAS;Único;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;554;;;;CENTRO;;Domicílio particular;;-;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;558;;;;CENTRO;;Domicílio particular;;-;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;564;;;;CENTRO;;Domicílio particular;;-;;6;2;59300000
240200605000001;Urbano;RUA OTAVIO LAMARTINE;566;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE RACAO;Único;;6;2;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;163;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;159;;;;CENTRO;;Estabelecimento de outras finalidades;ESCRITORIO DE CONTABILIDADE;Único;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;153;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;145;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;141;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;SN;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;131;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;127;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;123;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA JOAO DOS SANTOS;119;;;;CENTRO;;Domicílio particular;;-;;6;1;59300000
240200605000001;Urbano;RUA FELIPE GUERRA;21;LADO;;;CENTRO;;Estabelecimento de outras finalidades;ATELIE DE COSTURA;Único;;5;4;59300000
240200605000001;Urbano;RUA FELIPE GUERRA;21;;;;CENTRO;;Estabelecimento de outras finalidades;LAVA JATO;Único;;5;4;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Domicílio particular;;-;;5;3;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;32;;;;CENTRO;;Domicílio particular;;-;;5;2;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;34;;;;CENTRO;;Estabelecimento de outras finalidades;SINDICATO DE BANCARIOS;Único;;5;2;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;105;;;;CENTRO;;Domicílio particular;;-;;5;2;59300000
240200605000001;Urbano;RUA PROFESSOR COUTINHO;105;;;;CENTRO;;Estabelecimento de outras finalidades;SALAO DE BELEZA;Único;;5;2;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;99;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;89;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;81;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;SN;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;71;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;65;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;53;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;45;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;39;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;37;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;33;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;29;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;25;;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;RUA LUIZ PAULO FILGUEIRA;21;ANDAR 1;;;CENTRO;;Domicílio particular;;-;;5;1;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;224;ANDAR 1;;;CENTRO;;Domicílio particular;;-;;4;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;224;;;;CENTRO;;Estabelecimento de outras finalidades;MERCADINHO;Único;;4;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;234;;;;CENTRO;;Estabelecimento de outras finalidades;BAR;Único;;4;3;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;232;;;;CENTRO;;Domicílio particular;;-;;4;3;59300000
240200605000001;Urbano;RUA FELIPE GUERRA;230;;;;CENTRO;;Domicílio particular;;-;;4;2;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;213;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;SN;CASA;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;197;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;193;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;191;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;189;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;SN;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;179;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;177;;;;CENTRO;;Domicílio particular;;-;;4;1;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;125;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;121;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;117;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;111;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;105;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;101;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;SN;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;93;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;87;;;;CENTRO;;Estabelecimento de outras finalidades;MADEIREIRA;Único;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;83;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;RUA MANOEL JOAQUIM;81;;;;CENTRO;;Domicílio particular;;-;;3;7;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;130;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE PECAS DE MOTO E OFICINA;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;230;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;232;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;240;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;240;;;;CENTRO;;Estabelecimento de outras finalidades;BAR;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Estabelecimento de outras finalidades;FABRICA DE GELO;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;186;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;186;;;;CENTRO;;Estabelecimento de outras finalidades;LAN HOUSE;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;188;CASA;;;CENTRO;;Estabelecimento de outras finalidades;ATELIE DE ROUPAS;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;188;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;188;;;;CENTRO;;Estabelecimento de outras finalidades;LOJINHA DE CONSERTO DE CELULAR;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;198;ANDAR 1;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;198;;;;CENTRO;;Estabelecimento de outras finalidades;MERCADINHO;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;210;;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;214;ANDAR 1;;;CENTRO;;Domicílio particular;;-;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;214;;;;CENTRO;;Estabelecimento de outras finalidades;LOJA DE PECAS AUTOMOTIVAS;Único;;3;6;59300000
240200605000001;Urbano;AVENIDA DOUTOR CARLINDO DE SOUZA DANTAS;SN;;;;CENTRO;;Estabelecimento de outras finalidades;OFICINA DE MOTOS;Único;;3;6;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;157;;;;CENTRO;;Domicílio particular;;-;;3;4;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;SN;CASA LADO;;;CENTRO;;Domicílio particular;;-;;3;4;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;151;;;;CENTRO;;Domicílio particular;;-;;3;4;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;147;;;;CENTRO;;Domicílio particular;;-;;3;4;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;145;;;;CENTRO;;Domicílio particular;;-;;3;4;59300000
240200605000001;Urbano;RUA JOAQUIM FELIX;SN;CASA;;;CENTRO;;Domicílio particular;;-;;3;4;59300000
